id,title,authors,year,venue,link,code_repository,representation,inputs,outputs,central_contribution,major_algorithms,metrics,hardware,runtime,limitations,claims_relevant_to_maveb,overlap_with_candidate_maveb_contribution,potential_unexplored_gap
"p001","3D Gaussian Splatting for Real-Time Radiance Field Rendering","Kerbl et al.","2023","SIGGRAPH/TOG","https://repo-sam.inria.fr/fungraph/3d-gaussian-splatting/","https://github.com/graphdeco-inria/gaussian-splatting","3D anisotropic Gaussians","see paper","see paper","Foundational explicit 3DGS representation and differentiable renderer.","see paper","see paper","see paper","see paper","see paper","Foundational baseline; generic 3DGS is occupied.","Foundational baseline; generic 3DGS is occupied.","tracked in novelty_matrix.md"
"p002","A Hierarchical 3D Gaussian Representation for Real-Time Rendering of Very Large Datasets","Kerbl et al.","2024","SIGGRAPH 2024","https://repo-sam.inria.fr/fungraph/hierarchical-3d-gaussians/","https://github.com/graphdeco-inria/hierarchical-3d-gaussians","hierarchical 3DGS","see paper","see paper","Hierarchy/LOD for very large Gaussian scenes.","see paper","see paper","see paper","see paper","see paper","Kills generic Gaussian hierarchy/LOD novelty.","Kills generic Gaussian hierarchy/LOD novelty.","tracked in novelty_matrix.md"
"p003","SplaTAM: Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM","Keetha et al.","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Keetha_SplaTAM_Splat_Track__Map_3D_Gaussians_for_Dense_RGB-D_CVPR_2024_paper.html","https://github.com/spla-tam/SplaTAM","3DGS map","see paper","see paper","Online dense RGB-D tracking and mapping with Gaussians.","see paper","see paper","see paper","see paper","see paper","Kills generic RGB-D Gaussian mapping novelty.","Kills generic RGB-D Gaussian mapping novelty.","tracked in novelty_matrix.md"
"p004","Gaussian Splatting SLAM","Matsuki et al.","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Matsuki_Gaussian_Splatting_SLAM_CVPR_2024_paper.html","https://github.com/muskie82/MonoGS","3DGS map","see paper","see paper","Gaussian-splatting SLAM.","see paper","see paper","see paper","see paper","see paper","Direct SLAM baseline.","Direct SLAM baseline.","tracked in novelty_matrix.md"
"p005","SC-GS: Sparse-Controlled Gaussian Splatting for Editable Dynamic Scenes","Huang et al.","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Huang_SC-GS_Sparse-Controlled_Gaussian_Splatting_for_Editable_Dynamic_Scenes_CVPR_2024_paper.html","","dynamic 3DGS + control nodes","see paper","see paper","Sparse controls and local rigidity for editable dynamic scenes.","see paper","see paper","see paper","see paper","see paper","Kills generic rigidity-controlled Gaussian editing novelty.","Kills generic rigidity-controlled Gaussian editing novelty.","tracked in novelty_matrix.md"
"p006","GaussianEditor: Swift and Controllable 3D Editing with Gaussian Splatting","Chen et al.","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Chen_GaussianEditor_Swift_and_Controllable_3D_Editing_with_Gaussian_Splatting_CVPR_2024_paper.html","","3DGS","see paper","see paper","Semantic tracing/hierarchical structure for controllable local editing.","see paper","see paper","see paper","see paper","see paper","Direct editing collision; does not obviously supply geometric preservation certificates.","Direct editing collision; does not obviously supply geometric preservation certificates.","tracked in novelty_matrix.md"
"p007","GaussianEditor: Editing 3D Gaussians Delicately with Text Instructions","Wang et al.","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Wang_GaussianEditor_Editing_3D_Gaussians_Delicately_with_Text_Instructions_CVPR_2024_paper.html","","3DGS","see paper","see paper","Text-guided localized Gaussian editing.","see paper","see paper","see paper","see paper","see paper","Local generative editing is occupied.","Local generative editing is occupied.","tracked in novelty_matrix.md"
"p008","SuGaR: Surface-Aligned Gaussian Splatting for Efficient 3D Mesh Reconstruction and High-Quality Mesh Rendering","Guédon and Lepetit","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Guedon_SuGaR_Surface-Aligned_Gaussian_Splatting_for_Efficient_3D_Mesh_Reconstruction_and_CVPR_2024_paper.html","https://github.com/Anttwo/SuGaR","surface-aligned Gaussian + mesh","see paper","see paper","Regularizes Gaussians to surfaces and extracts an editable mesh.","see paper","see paper","see paper","see paper","see paper","Kills simplistic mesh+Gaussian novelty.","Kills simplistic mesh+Gaussian novelty.","tracked in novelty_matrix.md"
"p009","FreGS: 3D Gaussian Splatting with Progressive Frequency Regularization","Zhang et al.","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/html/Zhang_FreGS_3D_Gaussian_Splatting_with_Progressive_Frequency_Regularization_CVPR_2024_paper.html","","3DGS + frequency regularization","see paper","see paper","Frequency-domain regularization during reconstruction.","see paper","see paper","see paper","see paper","see paper","Frequency use exists; not the same as phase-derived local geometric preservation.","Frequency use exists; not the same as phase-derived local geometric preservation.","tracked in novelty_matrix.md"
"p010","MaskGaussian: Adaptive 3D Gaussian Representation from Probabilistic Masks","authors per paper","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/","https://github.com/kaikai23/MaskGaussian","masked 3DGS","see paper","see paper","Probabilistic Gaussian existence/masking for adaptive pruning.","see paper","see paper","see paper","see paper","see paper","Generic learned existence/pruning is occupied.","Generic learned existence/pruning is occupied.","tracked in novelty_matrix.md"
